open,high,low,close,volume,SMA_7,SMA_21,EMA_7,EMA_21,RSI,Upper_Bollinger,Lower_Bollinger,Daily_Return,Log_Return,Rolling_Volatility_7,Rolling_Volatility_21,ATR_14,Volume_MA_7,Volume_MA_21,Volume_ROC,Price_Spread,Close_Open_Spread
18.87,18.87,18.86,18.87,900,18.821428571428573,18.782857142857143,18.83013908656033,18.78433181884563,83.333333333333,18.858269509706478,18.711730490293522,0.0,0.0,0.0024156317155824125,0.003967018686000309,0.02142857142857148,1527.7142857142858,2210.809523809524,-0.526813880126183,0.010000000000001563,0.0
18.84,18.84,18.84,18.84,483,18.830000000000002,18.78761904761905,18.832604314920246,18.789392562586936,71.42857142857095,18.86398435111915,18.71601564888085,-0.0015898251192369983,-0.001591090232241963,0.003385955650649653,0.00440059224935218,0.022142857142857304,1532.142857142857,2100.3333333333335,-0.4633333333333334,0.0,0.0
18.85,18.85,18.85,18.85,300,18.837142857142858,18.79285714285714,18.836953236190183,18.794902329624488,72.72727272727244,18.871088591025234,18.718911408974762,0.0005307855626328628,0.0005306447458029365,0.0033153631553275837,0.00440044732509993,0.02285714285714313,1004.0,1981.2857142857142,-0.3788819875776398,0.0,0.0
18.85,18.86,18.85,18.86,2258,18.845714285714283,18.798095238095236,18.842714927142637,18.800820299658625,71.42857142857095,18.879471941423873,18.72052805857613,0.0005305039787797394,0.0005303633112915648,0.0032867103762323543,0.004400259364937925,0.02142857142857148,1206.142857142857,2025.4761904761904,6.526666666666666,0.00999999999999801,0.00999999999999801
18.85,18.86,18.84,18.84,2513,18.85,18.801904761904762,18.84203619535698,18.80438209059875,65.21739130434763,18.883811671903164,18.722188328096838,-0.0010604453870625141,-0.0010610080570943841,0.0036132930131430145,0.004588165723283787,0.022857142857142878,1522.2857142857142,2055.8571428571427,0.11293179805137288,0.019999999999999574,-0.010000000000001563
18.84,18.84,18.84,18.84,100,18.852857142857143,18.804761904761904,18.841527146517734,18.8076200823625,61.90476190476183,18.88735724912979,18.72564275087021,0.0,0.0,0.003600343521135475,0.004500646277603357,0.02142857142857148,1208.0,2043.952380952381,-0.9602069239952248,0.0,0.0
18.84,18.85,18.84,18.84,1200,18.84857142857143,18.808095238095238,18.8411453598883,18.810563711238636,59.999999999999645,18.888568306061543,18.733431693938456,0.0,0.0,0.00212061045806489,0.004446745984125398,0.02142857142857148,1107.7142857142858,2088.7619047619046,11.0,0.010000000000001563,0.0
18.84,18.84,18.84,18.84,800,18.844285714285714,18.812380952380952,18.840859019916227,18.813239737489667,70.58823529411752,18.8884744007025,18.7425255992975,0.0,0.0,0.00212061045806489,0.004257579937501962,0.018571428571428683,1093.4285714285713,2103.0476190476193,-0.33333333333333337,0.0,0.0
18.85,18.87,18.85,18.85,3793,18.845714285714287,18.817142857142855,18.84314426493717,18.81658157953606,70.58823529411752,18.888082308491544,18.752917691508454,0.0005307855626328628,0.0005306447458029365,0.0015001937911548015,0.004260758814089099,0.01928571428571451,1566.2857142857142,2214.0,3.74125,0.019999999999999574,0.0
18.87,18.88,18.86,18.88,2940,18.85,18.823333333333334,18.852358198702877,18.822346890487324,72.22222222222179,18.894179330098094,18.757820669901907,0.0015915119363394403,0.0015902468233347778,0.0021216644100257643,0.004454092763698511,0.01642857142857146,1943.4285714285713,2321.285714285714,-0.22488795148958607,0.019999999999999574,0.00999999999999801
